detected_at,change_type,player,from,previous_to,current_to,year,previous_status,current_status
2026-05-24T12:14:02+00:00,no_longer_available,Tre'shawn Sheppard,LIU,,Clark Atlanta,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Arterio Morris,Bethune Cookman,,Tennessee St.,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Christian Jeffrey,Villanova,,Loyola Chicago,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Davis Bynum,Rider,,Prairie View A&M,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Isaiah Johnson-Arigu,St. Thomas,,Northern Iowa,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Isaiah Mbeng,East Carolina,,Elon,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Jacolb Fredson-Cole,McNeese St.,,Georgia St.,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Kevin Anthony,Lindenwood,,MSU Moorhead,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Papa Amadou Kante,Pittsburgh,,Little Rock,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,AJ Smith,Temple,,Georgia St.,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Brennen Byrd,Houston Christian,,Cameron,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Cameron Barnes,Illinois St.,,Cal St. Bakersfield,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Chuck Love III,Loyola Chicago,,Austin Peay,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Daylon Dickerson,UMBC,,West Florida,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Drew McKenna,Old Dominion,,New Hampshire,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Emilis Butkus,Mercyhurst,,Campbell,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Fredy-Salam Sylla,Arkansas St.,,Southern Indiana,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Isaiah Coleman,Oklahoma St.,,UTSA,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Isaiah Sutherland,East Tennessee St.,,Green Bay,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Jace Whiting,Weber St.,,UTEP,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Jaden Kempson,Albany,,Florida A&M,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Jaylen Jones,Jacksonville,,Bethune Cookman,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Jaylen Pazon,VMI,,Chicago St.,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Jayson Petty,UMKC,,Central Michigan,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Jonas Sirtautas,Loyola MD,,Georgia St.,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Kaiden White,Marshall,,Northwest Florida State College,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,removed_from_portal_cache,Kalen Garry,South Dakota St.,,,2026,Available transfer,Missing from latest cache
2026-06-01T16:47:33+00:00,no_longer_available,Kean Webb,Portland St.,,Albany,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Leonardo Van Elswyk,Colorado,,Stony Brook,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Matar Diop,Stetson,,Lindenwood,2026,Available transfer,Portal committed
2026-06-01T16:47:33+00:00,no_longer_available,Ofri Naveh,Oral Roberts,,Middle Tennessee,2026,Available transfer,Portal committed
